fen,score,move
8/8/kpK5/2p5/8/1P6/8/8 w - -,0,c6d6
r1b2rk1/ppp2ppp/2np1q2/2b5/2B1P3/2P1B3/PP3PPP/RN1Q1RK1 w - -,37,e3c5
r2qk2r/pp1npp1p/4bnp1/3p2N1/3P4/1BP5/PBP2PPP/R2QK2R b KQkq -,-18,e6f5
8/8/1QK5/8/4k3/4n3/8/8 w - -,mate 17,c6c5
8/8/1k3K2/1p5p/1P5P/8/8/8 b - -,mate 21,b6c7
5rk1/6pp/qQ2pp2/3p4/8/1P2P3/5PPP/rN3RK1 w - -,-390,b6b4
5r2/6pp/7k/pQ3P2/8/8/P1Pq1PPP/5RK1 w - -,442,b5e5
8/8/7R/2k5/3Q4/4K3/8/8 b - -,mate 2,c5b5
5k2/5p1p/3p2p1/2pP4/2P5/1P4PP/2r2P2/1R4K1 b - -,10,h7h5
1R3rk1/3q2p1/3nb3/3pBpQ1/2pP4/p1b3N1/P1B2PP1/6K1 w - -,952,g3h5
r2qkb1r/pp1n1ppp/2p2n2/3p3b/3P4/2N2NPP/PP2PPB1/R1BQ1RK1 b kq -,26,f8d6
2r1r1k1/pp3pbp/2n1b1p1/q2p4/3Pp3/2P1P1P1/PB1NQPBP/R1R3K1 b - -,-67,a5a4
rn1qkb1r/ppp2ppp/5n2/8/2pP2b1/5N2/PP2BPPP/RNBQK2R w KQkq -,2,e1h1
r1bqk2r/ppp2ppp/1bn2P2/3p4/1PBp4/2P2N2/P4PPP/RNBQK2R b KQkq -,-42,d5c4
rnbqk2r/p3ppbp/3p1np1/2pP4/2B1P3/5N2/PPQ2PPP/RNB1K2R w KQkq -,53,e1h1
rnb1kb1r/ppp3pp/4pn2/5p2/4P3/1PN5/PBP2PPP/3RKBNR b Kkq -,9,f5e4
8/8/k4K2/1p5p/1P5P/8/8/8 w - -,mate 16,f6g6
r1bqkbnr/3ppppp/p1p5/2p5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,46,e1h1
rnbq1rk1/ppp1p1bp/3p1np1/3P1p2/2P2N2/6P1/PP2PPBP/RNBQK2R b KQ -,37,b8a6
8/8/7R/1k6/3Q4/4K3/8/8 w - -,mate 2,h6b6
R7/P5k1/6p1/8/5P1P/8/r7/7K b - -,494,a2a1
5rk1/3nppbp/r2p2p1/q1pPP2n/5B2/2N2N1P/PP3PP1/R2Q1RK1 w - -,28,f4h2
r1b1k2r/ppq1bppp/4p3/3pP3/BP6/P1n1BN2/5PPP/2RQ1RK1 b kq -,319,c8d7
5rk1/4R3/1q1p4/3Pb1p1/7p/2PQ4/6PP/4B2K b - -,mate -8,b6b1
r2qk2r/pp1npp2/4bnpp/3p2N1/3P4/1BP5/PBP2PPP/R2QK2R w KQkq -,121,g5e6
r1bqk2r/p4ppp/4pn2/3p4/1b6/2NBB3/PPP2PPP/R2Q1RK1 b kq -,-17,e8h8
5rk1/rp2n1p1/1p2bq1p/p3pp2/2P5/PP1PP1P1/1B4BP/R2Q1RK1 w - -,267,e3e4
r1b1kbnr/ppqp1ppp/2n1p3/8/2B1P3/2N2N2/PP3PPP/R1BQK2R w KQkq -,55,e1h1
1qr1r1k1/3n1ppp/Qp6/3p4/1B6/4Pp1P/P1P2PP1/1R1R2K1 w - -,12,d1d5
r1bqkb1r/pp1ppppp/2N2n2/8/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,0,b7c6
rnbq1rk1/ppp2pp1/4p3/3nP1NQ/1b1P4/2N5/PP3PPP/R1B1K2R b KQ -,434,d8g5
rnbqkbnr/p3pppp/8/1p6/2pP4/4PQ2/1P3PPP/RNB1KBNR b KQkq -,333,b8c6
r1b1k1nr/ppp2pQp/4p3/2q1P3/2B5/2P5/P4PPP/R1B1R1K1 w kq -,727,g7h8
r1bq1rk1/p4ppp/1p3n2/2Pp4/3P4/P1B1p3/1P3PPP/R2QKB1R w KQ -,-67,f2e3
r4r2/p5pp/2Q3q1/4k1B1/8/3Pn3/PPP5/4R1K1 w - -,mate 6,e1e3
R7/P5k1/6p1/8/r4P1P/8/8/7K w - -,475,h1g2
2r4k/6p1/p1PKp3/1p3r2/8/P7/3R4/2R5 w - -,407,d6e6
8/8/k7/1p4Kp/1P5P/8/8/8 b - -,mate 15,a6b7
rnbqk2r/ppp1ppbp/5np1/3p4/3PPB2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,-93,f6e4
r1bqkbnr/3ppppp/p1p5/2p5/2P1P3/5N2/PP1P1PPP/RNBQK2R b KQkq -,8,d7d6
3r2r1/p1p1kp1p/8/3Q4/8/6P1/P4P1P/6K1 w - -,159,d5e4
8/1p5b/4pQ1k/p2p4/P2P3p/4P2P/2q2PPK/8 b - -,0,c2g6
3q2k1/5p2/5N1p/7p/3r2P1/5Q2/5PK1/8 b - -,-109,g8f8
r1bqkb1r/p2ppppp/2p2n2/8/4P3/8/PPP2PPP/RNBQKB1R w KQkq -,4,b1c3
r3k2r/ppqbbppp/4p3/3pP3/BP6/P1n1BN2/5PPP/2RQ1RK1 w kq -,323,a4d7
r5k1/4ppbp/1q2b1p1/2p4P/4P1P1/pP3P2/K1Q5/2N3NR w - -,-675,g1e2
k2r3r/pp2bppp/2n5/2P5/1P3B2/2P2p1B/P1K2P2/4R1R1 w - -,420,b4b5
8/4kp1p/3p2p1/2pP4/2P5/1P4PP/2r2P2/1R4K1 w - -,22,b1e1
bq2r1k1/3nbpp1/1p2pn1p/1NppN3/2PP1P2/1P2P3/1BQ1B1PP/4R1K1 w - -,42,e2f3
r1bq1rk1/ppp1ppbp/2np1np1/8/3PP3/2N1B3/PPPQ1PPP/2KR1BNR w - -,98,f2f3
r1bqkb1r/ppp2p2/2np1n1p/4p1p1/2BPP3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,0,g5g4
r1b2rk1/ppp2ppp/2np1q2/2B5/2B1P3/2P5/PP3PPP/RN1Q1RK1 b - -,42,d6c5
8/8/1k6/1p4Kp/1P5P/8/8/8 w - -,mate 15,g5h5
rn2kb1r/p1p2pp1/1p1qpn2/P2p3p/3P2bP/1QP5/1P2PPP1/RNB1KBNR w KQkq -,59,a5b6
r1bqkbnr/pppnpppp/3p4/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -,74,e2e4
rnbqk1nr/pp3ppp/4p3/bN1pP3/1p1P4/P7/2P2PPP/R1BQKBNR b KQkq -,97,b4b3
r1bq1rk1/p4ppp/1p6/2Pp4/3P2n1/P1B1P3/1P4PP/R2QKB1R w KQ -,-79,d1f3
rnb2rk1/p3pp1p/2pp1npQ/7q/1p1PP3/5P2/PPP1N1PP/1K1R1BNR w - -,162,h6f4
1k2R3/8/2K5/8/8/8/8/8 b - -,mate 2,b8a7
2kr3r/pp1np3/1q2pnpp/3p4/3P4/1BP2Q2/PBP2PPP/1R2K2R w K -,194,e1h1
r2q1rk1/3bppbp/p1np1np1/1p6/2BNP2P/2N1BP2/PPPQ2P1/2KR3R w - -,89,c4b3
r1bq1rk1/ppp1ppbp/2np1np1/8/3PP3/2N1BP2/PPPQ2PP/2KR1BNR b - -,93,e7e5
8/8/8/4NP2/1p3k2/p7/K7/8 b - -,mate -13,f4e5
r1bqkb1r/p2ppppp/2p2n2/8/4P3/2N5/PPP2PPP/R1BQKB1R b KQkq -,0,e7e5
rnbqkbnr/1ppppppp/p7/8/8/4P3/PPPP1PPP/RNBQKBNR w KQkq -,23,c2c4
8/8/1k6/1p5K/1P5P/8/8/8 b - -,mate 15,b6c6
6k1/rR3p2/rb1p4/p2Pp1p1/2P1P3/1P6/R4PPP/3B2K1 w - -,116,b7b8
r1bq1rk1/ppp1npbp/2n3p1/3pp3/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w Qq -,-5,c2c3
R7/P5k1/6p1/8/5P1P/r7/6K1/8 w - -,486,h4h5
8/8/8/4kP2/1p6/p7/K7/8 w - -,mate -12,f5f6
r3k2r/ppqBbppp/4p3/3pP3/1P6/P1n1BN2/5PPP/2RQ1RK1 b kq -,320,e8d7
r4r2/p5pp/2Q3q1/4k1B1/8/3PR3/PPP5/6K1 b - -,mate 5,g6e4
r1bQk1r1/ppp2pPp/2n5/8/1bp5/2N2N2/PP3PPP/R1B1K2R b KQq -,9,c6d8
r2qkb1r/ppp2ppp/2n1pn2/3p1b1P/3P1P2/2N1B3/PPP1P1P1/R2QKBNR b KQkq -,-202,f8b4
4R3/k7/2K5/8/8/8/8/8 w - -,mate 2,e8h8
4k2r/pp1rbppp/2n5/q2p4/4N3/1Q5P/PP1B1PP1/R3R1K1 b k -,-48,a5b6
rnb2rk1/ppp2pp1/4p3/3nP1qQ/1b1P4/2N5/PP3PPP/R1B1K2R w KQ -,439,c1g5
r1bq1rk1/ppp2pbp/2np1np1/4p3/3PP3/2N1BP2/PPPQ2PP/2KR1BNR w - -,127,d4d5
r1b1kbnr/ppqp1ppp/2n1p3/8/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 b kq -,16,a7a6
r6r/ppqkbppp/4p3/3pP3/1P6/P1n1BN2/5PPP/2RQ1RK1 w - -,325,d1e1
r3r1k1/1b2qPp1/pp1b3p/3p1B1P/2pPn3/2N1PN2/PPQ2P2/2K3RR b - -,261,e7f7
2r2k2/2r2Pb1/3p4/pq2p2p/1p1BP3/1B3P2/PPPQ4/1K1R4 w - -,480,d4e3
r1bqk2r/p4ppp/4pn2/1B1p4/1b6/2N1B3/PPP2PPP/R2QK2R b KQkq -,-66,c8d7
5k1r/4npb1/pq1pb3/1pr1p2p/4B3/N1PNQ1P1/PP3P1P/3RK2R b K -,-27,g7h6
r1bqkbnr/5ppp/p1p1p3/2pp4/4PP2/2NP4/PPP3PP/R1BQK1NR w KQkq -,57,g1f3
r1bq1rk1/ppp2pbp/2np1np1/3Pp3/4P3/2N1BP2/PPPQ2PP/2KR1BNR b - -,96,c6d4
r1bqkb1r/p2p1ppp/2p1pn2/8/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq -,28,e4e5
r1bq1rk1/p4ppp/1p6/2Pp4/3P2n1/P1B1P3/1P1Q2PP/R3KB1R b KQ -,-68,f8e8
rnbqkbnr/1ppppppp/p7/8/8/4PQ2/PPPP1PPP/RNB1KBNR b KQkq -,-43,d7d5
6k1/8/6Q1/4K3/8/8/b7/8 b - -,mate 3,g8f8
3q4/5pk1/5N1p/7p/3r2P1/5Q2/5PK1/8 w - -,-83,f6h5
r1bqr1k1/p4ppp/1p6/2Pp4/3P2n1/P1B1P3/1P1Q2PP/R3KB1R w KQ -,-77,e1a1
r2qk2r/p2b1ppp/4pn2/1B1p4/1b6/2N1B3/PPP2PPP/R2QK2R w KQkq -,-65,b5d7
r1b1qrk1/pp1n1pbp/2pp2p1/4p2n/3P4/2PBPNB1/PPQN1PPP/2KR3R w - -,-49,d4e5
r1b2rk1/ppp2ppp/2n2q2/2p5/2B1P3/2P5/PP3PPP/RN1Q1RK1 w - -,38,f2f4
8/4kp1p/3p2p1/2pP4/2P5/1P4PP/2r2P2/4R1K1 b - -,10,e7f6
2r1r1k1/pp2npbp/1q2b1p1/3p4/3Pp3/1NP1P1P1/PB2QPBP/R1R3K1 w - -,5,b3c5
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/4P3/2N1BP2/PPPQ2PP/2KR1BNR w - -,113,c1b1
rnbqkbnr/1ppp1ppp/p3p3/8/8/4PQ2/PPPP1PPP/RNB1KBNR w KQkq -,-27,f3d1
1qr1r1k1/3n1ppp/Qp6/3R4/1B6/4Pp1P/P1P2PP1/1R4K1 b - -,15,b8c7
5rk1/3q2p1/1R1nb3/3pBpQ1/2pP4/p1b3N1/P1B2PP1/6K1 b - -,464,d6e8
5k2/8/6Q1/4K3/8/8/b7/8 w - -,mate 3,e5f6
rn1r4/1p3kp1/p3b2p/8/5b2/5Q2/PPP3PP/1K3B1R b - -,-14,f7g8
3q4/5pk1/7p/7N/3r2P1/5Q2/5PK1/8 b - -,-86,g7f8
r3r1k1/1b3qp1/pp1b3p/3p1B1P/2pPn3/2N1PN2/PPQ2P2/2K3RR w - -,358,f3h4
rnb1kb1r/ppp2ppp/8/3pP3/7q/2NP1Nn1/PPP4P/R1BQKB1R b KQkq -,0,h4h5
4rrk1/1pp3p1/pbnpp1qp/8/1P1PP3/5N1P/PQ1N1PPK/5RR1 w - -,-125,f1d1
r5k1/4ppbp/1q2b1p1/2p4P/4P1P1/pP3P2/K1Q1N3/2N4R b - -,-703,c5c4
r6r/ppqkbppp/4p3/3pP3/1P6/P1nQBN2/5PPP/2R2RK1 b - -,322,h8c8
r1bqkbnr/4pppp/p1p5/2pp4/2P1P3/5N2/PP1P1PPP/RNBQK2R w KQkq -,51,b1c3
r1bqkbnr/5ppp/p1p1p3/2pp4/4PP2/2NP1N2/PPP3PP/R1BQK2R b KQkq -,53,g8f6
R7/P5k1/6p1/8/5P1P/r7/7K/8 b - -,826,a3a1
r2qk2r/p2B1ppp/4pn2/3p4/1b6/2N1B3/PPP2PPP/R2QK2R b KQkq -,-61,d8d7
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/4P1P1/2N1BP2/PPPQ3P/2KR1BNR b - -,118,a7a6
rnb2rk1/ppp2pp1/4p3/3nP1BQ/1b1P4/2N5/PP3PPP/R3K2R b KQ -,442,f7f5
r4rk1/1p1bppbp/6p1/1pB5/2n5/2P3N1/PP3PPP/R3RBK1 w - -,42,f1c4
r1bqk2r/ppp2pPp/2n5/8/2p5/2b2N2/PP3PPP/R1BQK2R w KQkq -,-46,b2c3
r1bq3r/1p1pkppp/p7/3P4/2B4n/8/PP3PP1/R2QR1K1 b - -,-43,e7d6
rn1qkbnr/pp2pppp/8/2pp4/3P2b1/4PN2/PPP2PPP/RNBQKB1R w KQkq -,61,d4c5
r1bq1rk1/p1p1ppbp/1n4pB/2p5/8/2NP2P1/PP1QPP1P/R3K1NR w KQ -,63,h6g7
8/8/1R6/1k6/3Q4/4K3/8/8 b - -,mate 1,b5a5
8/8/2p1p1k1/p1P1P1p1/P2Ppp2/4P2P/5K2/8 w - -,400,e3f4
2r2k2/2r2Pb1/3p4/pq2p2p/1p2P3/1B2BP2/PPPQ4/1K1R4 b - -,498,d6d5
8/1p6/4pQbk/p2p4/P2P3p/4P2P/2q2PPK/8 w - -,0,f6h8
r2qk2r/ppp2ppp/2n1pn1P/3p1b2/1b1P1P2/2N1B3/PPP1P1P1/R2QKBNR b KQkq -,-290,d8d6
8/3k1p1p/3p2p1/2pP4/2P5/1P4PP/2r2P2/4R1K1 w - -,40,e1e4
R7/P6k/6p1/8/5P1P/r7/7K/8 w - -,472,h4h5
4k2r/pp1rbppp/1qn5/3p4/4N3/1Q5P/PP1B1PP1/R3R1K1 w k -,-40,b3b6
2rq1rk1/p2n1ppp/b3pn2/2b3B1/Pp6/5NP1/1P1QPPBP/RN1R2K1 b - -,-211,c5f2
1r4k1/1r2pPbp/3p2p1/1NpP3n/P1N5/7P/5PP1/1R3RK1 b - -,62,g8f8
2R5/k7/2K5/8/8/8/8/8 b - -,mate 1,a7a6
1k2r2r/pp1np3/4pn1p/3p4/P1PP2p1/BB4P1/2P3PP/1R3RK1 b - -,252,d7b6
r3k2r/ppp1qppp/2pbbn2/4p3/4P3/2NPBN2/PPP1QPPP/R3K2R w KQkq -,-6,a2a3
rn2kbnr/pp2ppp1/1qp5/3pP1Bp/3P3P/3Q4/PPP2PP1/RN2K1NR b KQkq -,0,e7e6
8/8/2K5/5n2/4k3/1Q6/8/8 w - -,mate 17,b3d5
r1bq1rk1/pppp1ppp/2n2n2/4p3/1bP5/2NP1NP1/PP2PPBP/R1BQK2R b KQ -,-42,e5e4
r3k2r/p2q1ppp/4pn2/3p4/1b6/2N1B3/PPP2PPP/R2QK2R w KQkq -,-62,e1h1
r1bq1rk1/p1p1ppBp/1n4p1/2p5/8/2NP2P1/PP1QPP1P/R3K1NR b KQ -,62,g8g7
8/8/1R6/k7/3Q4/4K3/8/8 w - -,mate 1,d4b4
8/r7/1b1p1pk1/p2Pp1p1/2P1P1K1/1P4P1/R4P1P/3B4 b - -,121,a7h7
r2qk2r/1p2bppp/p4n2/4pP2/3nB3/2N5/PP3PPP/R1BQ1RK1 w kq -,79,e4b7
r1bqr1k1/p4ppp/1p6/2Pp4/3P2n1/P1B1P3/1P1Q2PP/2KR1B1R b - -,-82,c8f5
1r6/1r2pkbp/3p2p1/1NpP3n/P1N5/7P/5PP1/1R3RK1 w - -,601,b5d6
r2qk2r/pp1nbppp/2p2n2/3p3b/3P4/2N2NPP/PP2PPB1/R1BQ1RK1 w kq -,57,f3e5
r1bqk2r/ppp2pPp/2n5/8/2p5/2P2N2/P4PPP/R1BQK2R b KQkq -,-58,d8d1
5k1r/4np2/pq1pb2b/1pr1p2p/4B3/N1PNQ1P1/PP3P1P/3RK2R w K -,-22,f2f4
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 b - -,25,f8e8
r1b1kb1r/ppqp1ppp/2n1pn2/8/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 w kq -,70,f1e1
r1bq1r2/p1p1ppkp/1n4p1/2p5/8/2NP2P1/PP1QPP1P/R3K1NR w KQ -,46,g1f3
2R5/8/k1K5/8/8/8/8/8 w - -,mate 1,c8a8
1k2r2r/pp1np3/4p2p/3p4/P1PPn1p1/BB4P1/2P3PP/1R3RK1 w - -,290,c4d5
7Q/1p6/4p1bk/p2p4/P2P3p/4P2P/2q2PPK/8 b - -,0,g6h7
r1bqkb1r/1p1n1ppp/p2ppn2/8/3NP3/1BN5/PPP2PPP/R1BQ1RK1 b kq -,0,d7c5
r2qr1k1/p4ppp/1p6/2Pp1b2/3P2n1/P1B1P3/1P1Q2PP/2KR1B1R w - -,-73,b2b3
rn2kb1r/pppq1ppp/5n2/8/2QP2b1/5N2/PP2BPPP/RNB1K2R b KQkq -,-44,b8c6
R7/P6k/6p1/8/5P1P/8/r5K1/8 w - -,768,g2g3
5rk1/3q2p1/1R2b3/3pBpQ1/2pPN3/p1b5/P1B2PP1/6K1 b - -,482,f5e4
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -,97,d4c5
r4rk1/1q2bp1p/p1b1p1p1/1p2B3/4n3/PB4R1/1P2QPPP/R5K1 w - -,-452,g3e3
r5k1/p1rq1pbp/1p2p1p1/3pP2P/2nP4/5PP1/PP2RBB1/R2Q2K1 w - -,64,f3f4
5rk1/rp2n1p1/1p2bq1p/p3pp2/2PP4/PP2P1P1/1B4BP/R2Q1RK1 b - -,234,a7a8
r2qr1k1/p4ppp/1p6/2Pp1b2/3P2n1/P1BBP3/1P1Q2PP/2KR3R b - -,-199,f5d3
3q1k2/5p2/5N1p/7p/3r2P1/Q7/5PK1/8 b - -,-117,f8g7
1k2r2r/pp1np3/4p2p/3p4/PBPPn1p1/1B4P1/2P3PP/1R3RK1 b - -,157,d7f6
r2qk2r/pp1nbppp/2p2n2/3pN2b/3P4/2N3PP/PP2PPB1/R1BQ1RK1 b kq -,67,h5g6
r1bq1r2/p1p1ppkp/1n4p1/2p5/8/2NP1NP1/PP1QPP1P/R3K2R b KQ -,59,c8b7
1r4k1/3bpp1p/1P1p2p1/q1rPn3/3QP3/1RN3P1/5PKP/1R3B2 b - -,126,d7g4
r3k2r/p2q1ppp/4pn2/3p4/1b1B4/2N5/PPP2PPP/R2QK2R b KQkq -,-64,d7e7
rnbqk2r/ppp1p1bp/3p1np1/5p2/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,39,f1c4
r1b1k1r1/ppp2pPp/2n5/8/2p5/2P2N2/P4PPP/R1BK3R w q -,-54,c1h6
rnbq1rk1/pp3ppp/3bpn2/2pp4/3P4/2PBPN2/PP3PPP/RNBQ1RK1 w - -,0,b1d2
rn1r2k1/1p4p1/p3b2p/8/5b2/5Q2/PPP3PP/1K3B1R w - -,-55,f1d3
rnb1kb1r/pp2pppp/2p4B/4q3/2B5/2Np4/PPP2PPP/R2QK2R w KQkq -,-47,h6e3
R7/P6k/6p1/8/5P1P/5K2/r7/8 b - -,685,a2a1
7r/8/1b1p1pk1/p2Pp1p1/2P1P1K1/1P4PP/R4P2/3B4 w - -,124,a2a4
r2qr1k1/p4ppp/1p6/2Pp4/3P2n1/P1BbP3/1P1Q2PP/2KR3R w - -,-215,d2d3
3q1k2/5p2/3r1N1p/7p/6P1/Q7/5PK1/8 w - -,0,f6e4
r2q1r2/pbp1ppkp/1n4p1/2p5/8/2NP1NP1/PP1QPP1P/R3K2R w KQ -,58,d2e3
r2qk2r/1B2bppp/p4n2/4pP2/3n4/2N5/PP3PPP/R1BQ1RK1 b kq -,83,a8a7
rnb2rk1/ppp2pp1/4p3/4P1BQ/1b1P4/2n5/PP3PPP/R3K2R w KQ -,497,b2c3
r2qk2r/ppp2p1p/2n1pn1R/3p1b2/1b1P1P2/2N1B3/PPP1P1P1/R2QKBN1 b Qkq -,-534,f6g4
r3k2r/p3qppp/4pn2/3p4/1b1B4/2N5/PPP2PPP/R2QK2R w KQkq -,-62,d1e2
r1bq1k1r/1p1p1ppp/p7/3P4/2B4n/8/PP3PP1/R2QR1K1 w - -,0,d5d6
r2qk2r/ppp1npbp/2n3p1/1B1pP3/3P2b1/5N2/PP3PPP/RNBQ1RK1 w kq -,68,c1g5
bq2r1k1/3nbpp1/1p2pn1p/1NppNP2/2PP4/1P2P3/1BQ1B1PP/4R1K1 b - -,24,e7f8
5rk1/3q2p1/4R3/3pB1Q1/2pPp3/p1b5/P1B2PP1/6K1 b - -,515,c3d2
R7/P6k/6p1/8/5P1P/5K2/8/r7 w - -,839,f3g3
8/8/2K5/8/4k3/4n2Q/8/8 w - -,mate 19,c6c5
r1b1kb1r/1pB2ppp/p1n1pn2/3p4/6q1/1NN3P1/PP2PPBP/R2Q1RK1 b kq -,0,f8e7
r1b1qrk1/pp1n1pbp/2pp2p1/4p2n/3P3B/2PBPN2/PPQN1PPP/2KR3R b - -,-46,h5f6
rn1qkbnr/pp2pppp/8/2pp4/3P2b1/2P1PN2/PP3PPP/RNBQKB1R b KQkq -,10,g4f3
3q1k2/5p2/3r3p/7p/4N1P1/Q7/5PK1/8 b - -,0,f8e7
rnbqkb1r/ppppp1pp/5n2/5p2/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq -,45,d2d4
8/3k1p1p/3p2p1/2pP4/2P5/1P2R1PP/2r2P2/6K1 b - -,23,c2a2
rnbqkb1r/ppp2ppp/5n2/3p2B1/3P4/2N5/PPP2PPP/R2QKBNR b KQkq -,-5,f8e7
8/8/6K1/8/4N2k/5Pp1/4b1B1/8 b - -,0,e2f1
r2qr1k1/p4ppp/1p6/2Pp4/3P4/P1BQP3/1P3nPP/2KR3R w - -,-263,d3f5
8/8/6K1/1p5P/1Pk5/8/8/8 w - -,mate 12,h5h6
r2qk2r/pp1nbppp/2p2nb1/3pN3/3P1P2/2N3PP/PP2P1B1/R1BQ1RK1 b kq -,62,f6e4
1r6/1r2pkbp/3N2p1/1NpP3n/P7/7P/5PP1/1R3RK1 b - -,562,f7g8
r5k1/4ppbp/4b1p1/7P/2P1P1P1/p4P2/KqQ1N3/2N4R w - -,mate -14,c2b2
r3kb1r/1pBb1ppp/p1n1pn2/3p4/6q1/1NN3P1/PP2PPBP/R2Q1RK1 w kq -,0,e2e4
rnbqkbnr/pp1p1ppp/2p1p3/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -,92,f1d3
1kr4r/p3p3/1p2p2p/3n4/P2Pn1p1/1B4P1/2P3PP/1R2BRK1 w - -,79,a4a5
r1bqkbnr/5ppp/p1p1p3/2pp4/2P1P3/1P3N2/P2P1PPP/RNBQK2R w KQkq -,69,b1c3
rnbqkbnr/pp2pppp/8/1B1p4/8/5N2/PPPP1PPP/RNBQK2R b KQkq -,0,c8d7
rnbqkb1r/ppppp1pp/5n2/5p2/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -,26,e7e5
rnbqkbnr/pp3ppp/2p5/2Pp4/3P4/8/PP3PPP/RNBQKBNR b KQkq -,-26,b7b6
1kr4r/p3p3/1p2p2p/P2n4/3Pn1p1/1B4P1/2P3PP/1R2BRK1 b - -,48,h8f8
5rk1/rp2n1p1/1p2b2p/p3ppq1/2PP4/PP2P1P1/1B4BP/R2Q1RK1 w - -,222,d4d5
rn1r2k1/1p4p1/p3b2p/8/5b2/3B1Q2/PPP3PP/1K5R b - -,-44,f4e5
r1b1kb1r/ppqp1ppp/2n1pn2/8/2B1P3/2N2N2/PP2QPPP/R1B2RK1 b kq -,-2,d7d6
8/8/1K6/8/8/k7/8/1R6 w - -,mate 6,b6c5
4k2r/1p1rbppp/1pn5/3p4/4N3/7P/PP1B1PP1/R3R1K1 w k -,-62,e4c3
5k1r/4np2/pq1pb2b/1pr4p/4Bp2/N1PNQ1P1/PP5P/3RK2R w K -,-15,g3f4
8/8/6KP/1p6/1Pk5/8/8/8 b - -,mate 11,c4b3
r2q1r2/pbp1ppkp/1n4p1/2p5/8/2NPQNP1/PP2PP1P/R3K2R b KQ -,59,c5c4
r1bqkbnr/5ppp/p1p1p3/2pp4/2P1P3/1P1P1N2/P4PPP/RNBQK2R b KQkq -,47,g8e7
8/8/3K4/5n2/4k3/7Q/8/8 w - -,mate 18,d6c5
8/8/6KP/1p6/1P6/1k6/8/8 w - -,mate 11,h6h7
1kr4r/p3p3/1p2p2p/P2n4/3P2p1/1Bn3P1/2P3PP/1R2BRK1 w - -,75,e1c3
2r1r1k1/pp2npbp/1q2b1p1/3p4/3Pp3/1NP1P1P1/PBR1QPBP/R5K1 b - -,-65,h7h5
8/3r1p2/k6K/P4p1p/7P/R5P1/8/8 b - -,516,d7d4
3r2r1/p1p1kp1p/8/2Q5/8/6P1/P4P1P/6K1 b - -,59,e7e8
4r3/1k1br1p1/1pp2p1p/p1p5/P3P1P1/1PBP2K1/2P2RP1/5R2 w - -,0,f2f4
rnbqkbnr/p4ppp/1pp5/2Pp4/3P4/8/PP3PPP/RNBQKBNR w KQkq -,-29,c5b6
r2qkbnr/pp2pppp/2n5/2pp4/3P2b1/2P1PN2/PP3PPP/RNBQKB1R w KQkq -,65,d4c5
r2qrbk1/1b1n2p1/p2p3p/1ppP1p2/Pn2P1P1/R4N1P/1P1N1P2/1BBQR1K1 b - -,42,f5f4
r2qk2r/pp1nbppp/2p2n2/3pN3/3PbP2/2N3PP/PP2P1B1/R1BQ1RK1 w kq -,57,c3e4
r1bqkb1r/pppp1ppp/5n2/4n3/3N4/8/PPP2PPP/RNBQKB1R w KQkq -,-57,d1e2
r4rk1/1q2bp1p/p1b1pnp1/1p2B3/7P/PBN3R1/1P2QPP1/R5K1 b - -,-103,b5b4
1r1qk2r/1B2bppp/p4n2/4pP2/3n4/2N5/PP3PPP/R1BQ1RK1 w k -,78,b7a6
5k2/8/5KQ1/8/8/8/b7/8 b - -,mate 2,a2g8
r2q1r2/pbp1ppkp/1n4p1/8/2p5/2NPQNP1/PP2PP1P/R3K2R w KQ -,54,e1a1
r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQK2R w KQkq -,22,e3e4
R7/P6k/8/6p1/5PKP/8/8/r7 w - -,839,h4g5
r2qr1k1/p4ppp/1p6/2Pp1Q2/3P4/P1B1P3/1P3nPP/2KR3R b - -,-221,f2d1
r1b1kb1r/1pq1pppp/p1np1n2/8/4P3/2N1QN2/PPP1BPPP/R1B2RK1 b kq -,29,e7e6
r3k2r/p3qppp/4pn2/3p4/1b1B4/2N5/PPP1QPPP/R3K2R b KQkq -,-67,e8h8
rnbqkbnr/p4ppp/1pp5/2Pp4/1P1P4/8/P4PPP/RNBQKBNR b KQkq -,-91,a7a5
